1	Limits for Length of Buf	R	U	D		
3	Limits for LCV Number	R	U	D		
4	Limits for Pointed SC Ax	R	R	D		
5	Limits for RI TO J2000 Q	R	R	D		
6	Limits for SAT CMD TO AS	R	R	D		
7	Limits for Monitoring Se	R	U	D		
8	Limits for Ground Comman	R	R	D		
9	Limits for Spin Directio	R	R	D		
10	Limits for Drive FCV Del	R	U	D		
11	Limits for Cycle Thruste	R	U	D		
12	Limits for ROT MAT SAT T	R	R	D		
13	Limits for Cos Earth Spi	R	R	D		
14	Limits for Command Type	R	U	D		
15	Limits for Operation cod	R	U	D		
16	Limits for Additional De	R	U	D		
17	Limits for Size	R	U	D		
18	Limits for SGM Group ID	R	U	D		
19	Limits for N (1 Byte)	R	U	D		
20	Limits for Prog RAM Addr	R	U	D		
21	Limits for Data RAM Addr	R	U	D		
22	Limits for DSP PROM Addr	R	U	D		
23	Limits for EEPROM Addres	R	U	D		
24	Limits for Code Size Par	R	U	D		
25	Limits for Nb of Hot Pix	R	U	D		
26	Limits for Index of Curr	R	U	D		
27	Limits for S/C Velocity 	R	U	D		
28	Limits for Integration T	R	U	D		
29	Limits for Target Magnit	R	R	D		
30	Limits for Windows Size 	R	U	D		
31	Limits for CCD Temp Valu	R	R	D		
32	Limits for Integration T	E	R	D		
33	Limits for Window Center	R	U	D		
34	Limits for Hot Pixel Sig	R	R	D		
35	Limits for Nb of Steps	R	U	D		
36	Limits for Integration T	R	U	D		
37	Limits for Prog RAM Addr	R	U	D		
38	Limits for Data RAM Addr	R	U	D		
39	Limits for DSP PROM Addr	R	U	D		
40	Limits for EEPROM Addres	R	U	D		
41	Limits for Code Size Par	R	U	D		
42	Limits for Nb of Hot Pix	R	U	D		
43	Limits for Index of Curr	R	U	D		
44	Limits for S/C Velocity 	R	R	D		
45	Limits for Integration T	R	U	D		
46	Limits for Target Magnit	R	R	D		
47	Limits for X Windows Siz	R	U	D		
48	Limits for CCD Temp Valu	R	R	D		
49	Limits for Integration T	R	U	D		
50	Limits for Window Center	R	U	D		
51	Limits for Hot Pixel Sig	R	R	D		
52	HK SID limits	R	U	D		
53	Memory ID limits	R	U	D		
54	Memory block limits	R	U	D		
55	Memory address limits	R	U	D		
57	Spectral window limits	R	U	D		
58	Spectral collapse limits	R	U	D		
59	Spatial window limits	R	U	D		
60	Spatial collapse limits	R	U	D		
61	Parameter file limits	R	U	D		
62	Safety mask limits	R	U	D		
66	Cycle Repeat limits	R	U	D		
67	Cycle Time limits	R	U	D		
68	Limits for Monitoring ID	R	U	D		
69	Limits for Filter (serv1	R	U	D		
70	Limits for Total segment	R	U	D		
71	Limits for SID	R	U	D		
72	Limits for Category	R	U	D		
73	Limits for Number of cyc	R	U	D		
74	Limits for Time-Out	R	U	D		
75	Limits for N	R	U	D		
76	Limits for N	R	U	D		
77	Limits for Period Ratio	R	U	D		
78	Limits for 1Hz Cycle Pha	R	U	D		
79	Limits for N	R	U	D		
80	Limits for PID serv 9	R	U	D		
81	Limits for Nb of command	R	U	D		
82	Limits for PID serv 14	R	U	D		
83	Limits for N (TC 132,n)	R	U	D		
84	Limits for N (TC 132,114	R	U	D		
85	Limits for N (TC 136)	R	U	D		
86	Limits for N (TC 138,10)	R	U	D		
87	Limits for N (TC 138,11)	R	U	D		
88	transfer mode limits	R	U	D		
89	HK SID Limits	R	U	D		
90	Memory ID limits	R	U	D		
91	Memory block limits	R	U	D		
92	Memory address limits	R	U	D		
93	SMM Gunn Voltage Limits	R	U	D		
94	IFP Power Level Limits	R	U	D		
95	Large Multiplier	R	U	D		
96	Small Multiplier	R	U	D		
97	Mirror Position	R	U	D		
98	MIRO Power Mode	R	U	D		
99	CTS Integration Period	R	U	D		
